Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
David Roddy,PF,21.0,MEM,48.0,1.0,17.4,2.4,5.7,0.421,"0,421",0.8,2.9,0.292,1.6,2.8,0.551,0.495,0.6,1.0,0.625,0.6,2.0,2.6,0.6,0.5,0.3,0.9,1.5,6.3,Bad
Ryan Rollins,PG,20.0,GSW,12.0,0.0,5.2,0.6,1.7,0.35,"0,350",0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,0.001,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,Bad
Derrick Rose,PG,34.0,NYK,27.0,0.0,12.5,2.3,5.9,0.384,"0,384",0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,Bad
Terrence Ross,SG,31.0,TOT,45.0,9.0,22.4,3.2,7.3,0.433,"0,433",1.5,3.9,0.373,1.7,3.4,0.503,0.534,0.4,0.5,0.727,0.2,1.9,2.2,1.3,0.6,0.2,0.8,1.4,8.1,Bad
Terrence Ross,SG,31.0,ORL,42.0,9.0,22.5,3.1,7.1,0.431,"0,431",1.5,3.8,0.381,1.6,3.3,0.489,0.533,0.4,0.5,0.75,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,8.0,Bad
Terrence Ross,SG,31.0,PHO,3.0,0.0,21.7,4.3,9.7,0.448,"0,448",1.7,5.7,0.294,2.7,4.0,0.667,0.534,0.3,0.7,0.5,0.3,3.7,4.0,2.0,0.3,0.0,0.0,2.7,10.7,Bad
Terry Rozier,SG,28.0,CHO,52.0,52.0,35.6,7.9,19.0,0.414,"0,414",2.7,8.1,0.329,5.2,10.9,0.478,0.484,2.9,3.6,0.827,0.9,3.3,4.2,4.8,1.1,0.3,2.1,1.9,21.4,Bad
Ricky Rubio,PG,32.0,CLE,16.0,0.0,16.7,1.7,5.5,0.307,"0,307",0.8,3.1,0.265,0.9,2.4,0.359,0.381,0.9,1.3,0.75,0.3,2.1,2.3,3.5,1.1,0.1,0.8,1.6,5.1,Bad
D'Angelo Russell,PG,26.0,TOT,58.0,58.0,32.4,6.2,13.3,0.464,"0,464",2.7,6.8,0.389,3.5,6.4,0.543,0.564,2.6,3.1,0.85,0.5,2.6,3.1,6.1,1.1,0.4,2.6,2.1,17.6,Bad
D'Angelo Russell,PG,26.0,MIN,54.0,54.0,32.9,6.3,13.5,0.465,"0,465",2.7,7.0,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9,Bad
D'Angelo Russell,PG,26.0,LAL,4.0,4.0,24.8,4.8,10.8,0.442,"0,442",1.5,4.3,0.353,3.3,6.5,0.5,0.512,2.5,3.3,0.769,0.5,3.0,3.5,5.0,0.3,0.0,1.5,1.3,13.5,Bad
Matt Ryan,SF,25.0,TOT,32.0,0.0,9.5,1.3,3.3,0.374,"0,374",1.0,2.6,0.386,0.3,0.8,0.333,0.523,0.3,0.4,0.833,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,3.8,Bad
Matt Ryan,SF,25.0,LAL,12.0,0.0,10.8,1.3,4.1,0.306,"0,306",1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9,Bad
Matt Ryan,SF,25.0,MIN,20.0,0.0,8.7,1.3,2.9,0.431,"0,431",1.0,2.4,0.396,0.3,0.5,0.6,0.595,0.3,0.4,0.857,0.1,0.5,0.6,0.6,0.2,0.1,0.2,0.7,3.8,Bad
Domantas Sabonis,C,26.0,SAC,58.0,58.0,34.5,7.1,11.5,0.611,"0,611",0.4,1.2,0.348,6.6,10.3,0.642,0.629,4.2,5.5,0.767,3.0,9.4,12.4,6.9,0.9,0.4,3.0,3.7,18.7,Bad
Dario Šarić,PF,28.0,TOT,41.0,12.0,14.1,2.0,4.7,0.432,"0,432",0.7,1.9,0.39,1.3,2.8,0.461,0.51,1.0,1.2,0.843,1.0,2.7,3.7,1.5,0.3,0.1,1.0,1.9,5.8,Bad
Dario Šarić,PF,28.0,PHO,37.0,12.0,14.4,2.1,4.8,0.427,"0,427",0.7,1.9,0.391,1.3,2.9,0.45,0.503,1.0,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8,Bad
Dario Šarić,PF,28.0,OKC,4.0,0.0,11.5,1.8,3.5,0.5,"0,500",0.8,2.0,0.375,1.0,1.5,0.667,0.607,1.8,1.8,0.001,0.8,2.0,2.8,0.8,0.3,0.0,1.5,1.8,6.0,Bad
Jordan Schakel,SF,24.0,WAS,2.0,0.0,3.0,0.5,1.0,0.5,"0,500",0.5,0.5,0.001,0.0,0.5,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,Bad
